"","Pnt_ID","Serial","DateTime","Micro_1","Breed_Col","bpmTempC","dwsTempOut","ModTempC"
"4983","4983","252881",2021-07-02 09:17:00,"Burrow","",30.3906840391991,30.9159872710573,41.417683371317
"4984","4984","229069",2021-07-02 09:22:00,"Burrow","",32.4167141861239,30.9339496381836,41.8208725448588
"4985","4985","245761",2021-07-02 09:24:00,"Burrow","",29.8928921181186,30.9403617923514,39.142255674794
"4986","4986","229079",2021-07-02 09:29:00,"Open","",20.7194737060749,30.9553944106716,40.8344099464314
"4987","4987","229078",2021-07-02 09:29:00,"Burrow","",32.5697591613164,30.9553944106716,42.3055141216835
"4988","4988","252886",2021-07-02 09:31:00,"Burrow","",31.2385363592782,30.9612886155422,44.5997780235146
"4990","4990","229070a",2021-07-02 09:33:00,"Burrow","",35.0244636960596,30.9672750615126,40.3577920105959
"4992","4992","245742",2021-07-02 09:35:00,"Burrow","",31.0955793477923,30.9734605159666,40.0925067525124
"4994","4994","252883",2021-07-02 09:38:00,"Burrow","",30.3548931313071,30.9833453922062,43.164513907191
"4995","4995","245752",2021-07-02 09:39:00,"Burrow","",31.0808699400085,30.9868555198601,39.5401196039664
"4997","4997","229063",2021-07-02 09:44:00,"Burrow","",32.9607201094928,31.0066204914694,44.2071296696158
"4999","4999","245748",2021-07-02 09:46:00,"Burrow","",30.4229281064455,31.0158089595668,40.1158021819628
"5005","5005","245741",2021-07-02 10:08:00,"Open","",46.7299384326337,31.1977565054035,41.588180848541
"5011","5011","245744",2021-07-02 10:23:00,"Shade - Full","Can?t tell",39.1212537172463,31.4223233087028,43.8178444882317
"5014","5014","245762a",2021-07-02 10:32:00,"Shade - Partial","Can?t tell",38.2797151399725,31.590367446943,45.0542782362013
"5017","5017","245753",2021-07-02 10:36:00,"Burrow","",34.0862094631449,31.6718959293838,47.1149638789304
"5019","5019","252881",2021-07-02 10:40:00,"Burrow","",30.3906840391991,31.7571958186613,44.9270904381999
"5021","5021","229069",2021-07-02 10:46:00,"Burrow","",33.7044309188467,31.8915388993991,45.4040967374379
"5022","5022","245745",2021-07-02 10:48:00,"Open","",45.407297183985,31.9378697884743,45.5013458311706
"5023","5023","245761",2021-07-02 10:48:00,"Burrow","",31.3384766374595,31.9378697884743,45.2556817403633
"5025","5025","229078",2021-07-02 10:51:00,"Burrow","",32.5697591613164,32.008685911597,46.2513392618404
"5027","5027","252886",2021-07-02 10:54:00,"Burrow","",33.8868967787562,32.0809695293894,49.0930332438822
"5028","5028","229070a",2021-07-02 10:55:00,"Burrow","",35.0244636960596,32.1053675738802,45.8112279456431
"5030","5030","245742",2021-07-02 10:58:00,"Burrow","",31.0955793477923,32.1794044089329,46.0198249269535
"5031","5031","252883",2021-07-02 11:00:00,"Burrow","",31.8189915713964,32.2294161116423,47.3846109611804
"5033","5033","245752",2021-07-02 11:02:00,"Burrow","",32.4178917258827,32.2799056550912,46.003107403085
"5035","5035","229063",2021-07-02 11:06:00,"Burrow","",32.9607201094928,32.3821632605512,49.0692239692135
"5037","5037","245748",2021-07-02 11:08:00,"Burrow","",31.8632005713024,32.433853820734,47.4013924064786
"5042","5042","229079",2021-07-02 12:04:00,"Shade - Full","",20.7194737060749,33.8707156605988,49.1363414916873
"5052","5052","245744",2021-07-02 12:32:00,"Shade - Full","Can?t tell",39.1212537172463,34.4438255218392,44.3982692043941
"5054","5054","245741",2021-07-02 12:41:00,"Shade - Full","",42.4880610680915,34.5989269069314,46.1230179380097
"5058","5058","245762a",2021-07-02 12:52:00,"Shade - Full","Can?t tell",40.0605066219359,34.769009566239,51.6683144135881
"5060","5060","245753",2021-07-02 12:55:00,"Burrow","",34.0862094631449,34.8116526765601,53.315987081879
"5063","5063","252881",2021-07-02 12:59:00,"Burrow","",33.1965102187372,34.8660027396744,48.8829030171218
"5065","5065","229069",2021-07-02 13:03:00,"Burrow","",36.992989780996,34.9174787757513,48.6053104855353
"5066","5066","245761",2021-07-02 13:04:00,"Burrow","",33.8228958570433,34.9298976432554,51.2959519488851
"5069","5069","229078",2021-07-02 13:09:00,"Burrow","",34.9621122771864,34.9892839664151,49.809940920464
"5070","5070","252886",2021-07-02 13:11:00,"Burrow","",38.6162429735372,35.0117720806098,52.4098181336984
"5072","5072","229070a",2021-07-02 13:13:00,"Burrow","",35.0244636960596,35.0335348093858,50.7017186550468
"5073","5073","245742",2021-07-02 13:15:00,"Burrow","",33.5760917781986,35.0545710063,50.3790613338734
"5074","5074","252883",2021-07-02 13:19:00,"Burrow","",35.5720696328639,35.0944592187698,50.5241004269083
"5075","5075","245752",2021-07-02 13:20:00,"Burrow","",33.0429270629748,35.1039753981561,51.1053393614513
"5076","5076","245745",2021-07-02 13:25:00,"Shade - Full","",45.407297183985,35.1488138874302,52.3792651071602
"5077","5077","229063",2021-07-02 13:25:00,"Burrow","",32.9607201094928,35.1488138874302,52.52257631907
"5078","5078","245748",2021-07-02 13:27:00,"Burrow","",35.5113050052145,35.1654668178657,54.2026410293574
